,District,District Number,TEA District Type,TEA Description,NCES District Type,NCES Description,Charter School (Y/N),2018-19 District Enrollment,Campuses would Qualify as Rural for Teacher Incentive Allotment Purposes Based on TEA Definition (Yes/No),"Campuses would Qualify as Rural for Teacher Incentive Allotment Purposes Based on NCES Definition and Enrollment <5,000 (Yes/No)"
570,KERENS ISD,175907,H,Rural,43.0,Rural-Remote,N,585,Yes,Yes
571,KERMIT ISD,248901,D,Other Central City Suburban,32.0,Town-Distant,N,1478,No,No
572,KERRVILLE ISD,133903,E,Independent Town,33.0,Town-Remote,N,4957,No,No
573,KI CHARTER ACADEMY,105803,I,Charter School Districts,23.0,Suburb-Small,Y,176,No,No
574,KILGORE ISD,92902,D,Other Central City Suburban,31.0,Town-Fringe,N,4086,No,No
575,KILLEEN ISD,14906,C,Other Central City,12.0,City-Midsize,N,44974,No,No
576,KINGSVILLE ISD,137901,E,Independent Town,32.0,Town-Distant,N,3316,No,No
577,KIPP AUSTIN PUBLIC SCHOOLS INC,227820,I,Charter School Districts,11.0,City-Large,Y,27048,No,No
578,KIPP DALLAS-FORT WORTH,57837,I,Charter School Districts,11.0,City-Large,Y,.,No,No
579,KIPP INC CHARTER,101813,I,Charter School Districts,11.0,City-Large,Y,.,No,No
580,KIPP SAN ANTONIO,15826,I,Charter School Districts,11.0,City-Large,Y,.,No,No
581,KIRBYVILLE CISD,121905,G,Non-metropolitan Stable,43.0,Rural-Remote,N,1508,No,Yes
582,KLEIN ISD,101915,B,Major Suburban,21.0,Suburb-Large,N,53328,No,No
583,KLONDIKE ISD,58905,H,Rural,43.0,Rural-Remote,N,261,Yes,Yes
584,KNIPPA ISD,232901,F,Non-metropolitan Fast Growing,42.0,Rural-Distant,N,460,No,Yes
585,KNOX CITY-O'BRIEN CISD,138902,H,Rural,43.0,Rural-Remote,N,269,Yes,Yes
586,KOPPERL ISD,18907,H,Rural,43.0,Rural-Remote,N,201,Yes,Yes
587,KOUNTZE ISD,100903,G,Non-metropolitan Stable,42.0,Rural-Distant,N,1136,No,Yes
588,KRESS ISD,219905,H,Rural,42.0,Rural-Distant,N,256,Yes,Yes
589,KRUM ISD,61905,D,Other Central City Suburban,31.0,Town-Fringe,N,2049,No,No
590,LA ACADEMIA DE ESTRELLAS,57839,I,Charter School Districts,11.0,City-Large,Y,1096,No,No
591,LA FE PREPARATORY SCHOOL,71807,I,Charter School Districts,11.0,City-Large,Y,235,No,No
592,LA FERIA ISD,31905,G,Non-metropolitan Stable,22.0,Suburb-Midsize,N,3320,No,No
593,LA GLORIA ISD,125906,H,Rural,42.0,Rural-Distant,N,123,Yes,Yes
594,LA GRANGE ISD,75902,E,Independent Town,33.0,Town-Remote,N,1915,No,No
595,LA JOYA ISD,108912,C,Other Central City,21.0,Suburb-Large,N,28024,No,No
596,LA PORTE ISD,101916,B,Major Suburban,21.0,Suburb-Large,N,7384,No,No
597,LA PRYOR ISD,254902,H,Rural,43.0,Rural-Remote,N,503,Yes,Yes
598,LA VEGA ISD,161906,D,Other Central City Suburban,22.0,Suburb-Midsize,N,3140,No,No
599,LA VERNIA ISD,247903,E,Independent Town,42.0,Rural-Distant,N,3402,No,Yes
600,LA VILLA ISD,108914,H,Rural,21.0,Suburb-Large,N,555,Yes,No
601,LACKLAND ISD,15913,G,Non-metropolitan Stable,21.0,Suburb-Large,N,1076,No,No
602,LAGO VISTA ISD,227912,G,Non-metropolitan Stable,31.0,Town-Fringe,N,1530,No,No
603,LAKE DALLAS ISD,61912,D,Other Central City Suburban,21.0,Suburb-Large,N,4031,No,No
604,LAKE TRAVIS ISD,227913,B,Major Suburban,21.0,Suburb-Large,N,10738,No,No
605,LAKE WORTH ISD,220910,B,Major Suburban,21.0,Suburb-Large,N,3371,No,No
606,LAMAR CISD,79901,C,Other Central City,21.0,Suburb-Large,N,33444,No,No
607,LAMESA ISD,58906,G,Non-metropolitan Stable,33.0,Town-Remote,N,1886,No,No
608,LAMPASAS ISD,141901,D,Other Central City Suburban,41.0,Rural-Fringe,N,3358,No,Yes
609,LANCASTER ISD,57913,B,Major Suburban,21.0,Suburb-Large,N,7348,No,No
610,LANEVILLE ISD,201903,H,Rural,42.0,Rural-Distant,N,164,Yes,Yes
611,LAPOYNOR ISD,107910,H,Rural,42.0,Rural-Distant,N,470,Yes,Yes
612,LAREDO ISD,240901,D,Other Central City Suburban,11.0,City-Large,N,23645,No,No
613,LASARA ISD,245901,H,Rural,42.0,Rural-Distant,N,368,Yes,Yes
614,LATEXO ISD,113905,H,Rural,42.0,Rural-Distant,N,446,Yes,Yes
615,LAZBUDDIE ISD,185904,H,Rural,43.0,Rural-Remote,N,168,Yes,Yes
616,LEADERSHIP PREP SCHOOL,61804,I,Charter School Districts,21.0,Suburb-Large,Y,1242,No,No
617,LEAKEY ISD,193902,H,Rural,43.0,Rural-Remote,N,290,Yes,Yes
618,LEANDER ISD,246913,B,Major Suburban,21.0,Suburb-Large,N,40031,No,No
619,LEARY ISD,19914,H,Rural,41.0,Rural-Fringe,N,119,Yes,Yes
620,LEFORS ISD,90902,H,Rural,42.0,Rural-Distant,N,163,Yes,Yes
621,LEGACY PREPARATORY,57846,I,Charter School Districts,21.0,Suburb-Large,Y,1390,No,No
622,LEGACY SCHOOL OF SPORT SCIENCES,101874,,,,,Y,393,No,No
623,LEGGETT ISD,187906,H,Rural,42.0,Rural-Distant,N,167,Yes,Yes
624,LEON ISD,145911,H,Rural,43.0,Rural-Remote,N,746,Yes,Yes
625,LEONARD ISD,74909,G,Non-metropolitan Stable,42.0,Rural-Distant,N,878,No,Yes
626,LEVELLAND ISD,110902,G,Non-metropolitan Stable,32.0,Town-Distant,N,2917,No,No
627,LEVERETTS CHAPEL ISD,201904,H,Rural,42.0,Rural-Distant,N,252,Yes,Yes
628,LEWISVILLE ISD,61902,B,Major Suburban,21.0,Suburb-Large,N,52218,No,No
629,LEXINGTON ISD,144902,G,Non-metropolitan Stable,43.0,Rural-Remote,N,1026,No,Yes
630,LIBERTY HILL ISD,246908,D,Other Central City Suburban,41.0,Rural-Fringe,N,4390,No,Yes
631,LIBERTY ISD,146906,G,Non-metropolitan Stable,32.0,Town-Distant,N,2227,No,No
632,LIBERTY-EYLAU ISD,19908,G,Non-metropolitan Stable,13.0,City-Small,N,2465,No,No
633,LIFE SCHOOL,57807,I,Charter School Districts,21.0,Suburb-Large,Y,5704,No,No
634,LIGHTHOUSE CHARTER SCHOOL,15825,I,Charter School Districts,11.0,City-Large,Y,332,No,No
635,LINDALE ISD,212903,D,Other Central City Suburban,31.0,Town-Fringe,N,4115,No,No
636,LINDEN-KILDARE CISD,34905,H,Rural,43.0,Rural-Remote,N,689,Yes,Yes
637,LINDSAY ISD,49907,H,Rural,42.0,Rural-Distant,N,522,Yes,Yes
638,LINGLEVILLE ISD,72909,H,Rural,42.0,Rural-Distant,N,279,Yes,Yes
639,LIPAN ISD,111902,F,Non-metropolitan Fast Growing,43.0,Rural-Remote,N,436,No,Yes
640,LITTLE CYPRESS-MAURICEVILLE CISD,181908,E,Independent Town,22.0,Suburb-Midsize,N,3170,No,No
641,LITTLE ELM ISD,61914,D,Other Central City Suburban,21.0,Suburb-Large,N,7769,No,No
642,LITTLEFIELD ISD,140904,G,Non-metropolitan Stable,32.0,Town-Distant,N,1355,No,No
643,LIVINGSTON ISD,187907,E,Independent Town,41.0,Rural-Fringe,N,3963,No,Yes
644,LLANO ISD,150901,G,Non-metropolitan Stable,41.0,Rural-Fringe,N,1780,No,Yes
645,LOCKHART ISD,28902,D,Other Central City Suburban,31.0,Town-Fringe,N,6118,No,No
646,LOCKNEY ISD,77902,H,Rural,43.0,Rural-Remote,N,450,Yes,Yes
647,LOHN ISD,160905,H,Rural,43.0,Rural-Remote,N,75,Yes,Yes
648,LOMETA ISD,141902,H,Rural,43.0,Rural-Remote,N,289,Yes,Yes
649,LONDON ISD,178906,F,Non-metropolitan Fast Growing,41.0,Rural-Fringe,N,1107,No,Yes
650,LONE OAK ISD,116906,G,Non-metropolitan Stable,42.0,Rural-Distant,N,1006,No,Yes
651,LONE STAR LANGUAGE ACADEMY,43802,I,Charter School Districts,12.0,City-Midsize,Y,171,No,No
652,LONGVIEW ISD,92903,C,Other Central City,13.0,City-Small,N,8621,No,No
653,LOOP ISD,83902,H,Rural,43.0,Rural-Remote,N,137,Yes,Yes
654,LORAINE ISD,168902,H,Rural,42.0,Rural-Distant,N,158,Yes,Yes
655,LORENA ISD,161907,G,Non-metropolitan Stable,41.0,Rural-Fringe,N,1728,No,Yes
656,LORENZO ISD,54902,H,Rural,42.0,Rural-Distant,N,271,Yes,Yes
657,LOS FRESNOS CISD,31906,D,Other Central City Suburban,41.0,Rural-Fringe,N,10739,No,No
658,LOUISE ISD,241906,H,Rural,42.0,Rural-Distant,N,510,Yes,Yes
659,LOVEJOY ISD,43919,G,Non-metropolitan Stable,21.0,Suburb-Large,N,4272,No,No
660,LOVELADY ISD,113903,H,Rural,43.0,Rural-Remote,N,534,Yes,Yes
661,LUBBOCK ISD,152901,C,Other Central City,12.0,City-Midsize,N,27759,No,No
662,LUBBOCK-COOPER ISD,152906,D,Other Central City Suburban,41.0,Rural-Fringe,N,6571,No,No
663,LUEDERS-AVOCA ISD,127905,H,Rural,42.0,Rural-Distant,N,107,Yes,Yes
664,LUFKIN ISD,3903,E,Independent Town,33.0,Town-Remote,N,7861,No,No
665,LULING ISD,28903,E,Independent Town,32.0,Town-Distant,N,1403,No,No
666,LUMBERTON ISD,100907,D,Other Central City Suburban,22.0,Suburb-Midsize,N,4037,No,No
667,LUMIN EDUCATION,57805,I,Charter School Districts,11.0,City-Large,Y,296,No,No
668,LYFORD CISD,245902,G,Non-metropolitan Stable,32.0,Town-Distant,N,1474,No,No
669,LYTLE ISD,7904,G,Non-metropolitan Stable,41.0,Rural-Fringe,N,1726,No,Yes
670,MABANK ISD,129905,D,Other Central City Suburban,32.0,Town-Distant,N,3566,No,No
671,MADISONVILLE CISD,154901,G,Non-metropolitan Stable,32.0,Town-Distant,N,2399,No,No
672,MAGNOLIA ISD,170906,D,Other Central City Suburban,41.0,Rural-Fringe,N,13264,No,No
673,MALAKOFF ISD,107906,G,Non-metropolitan Stable,33.0,Town-Remote,N,1388,No,No
674,MALONE ISD,109908,H,Rural,42.0,Rural-Distant,N,178,Yes,Yes
675,MALTA ISD,19910,H,Rural,42.0,Rural-Distant,N,229,Yes,Yes
676,MANARA ACADEMY,57844,I,Charter School Districts,12.0,City-Midsize,Y,892,No,No
677,MANOR ISD,227907,B,Major Suburban,41.0,Rural-Fringe,N,9463,No,No
678,MANSFIELD ISD,220908,B,Major Suburban,21.0,Suburb-Large,N,35293,No,No
679,MARATHON ISD,22902,H,Rural,43.0,Rural-Remote,N,55,Yes,Yes
680,MARBLE FALLS ISD,27904,E,Independent Town,32.0,Town-Distant,N,4270,No,No
681,MARFA ISD,189901,H,Rural,43.0,Rural-Remote,N,340,Yes,Yes
682,MARION ISD,94904,D,Other Central City Suburban,21.0,Suburb-Large,N,1486,No,No
683,MARLIN ISD,73903,H,Rural,32.0,Town-Distant,N,880,Yes,No
684,MARSHALL ISD,102902,E,Independent Town,32.0,Town-Distant,N,5341,No,No
685,MART ISD,161908,H,Rural,42.0,Rural-Distant,N,516,Yes,Yes
686,MARTINS MILL ISD,234905,H,Rural,42.0,Rural-Distant,N,524,Yes,Yes
687,MARTINSVILLE ISD,174909,H,Rural,43.0,Rural-Remote,N,409,Yes,Yes
688,MASON ISD,157901,H,Rural,43.0,Rural-Remote,N,715,Yes,Yes
689,MATAGORDA ISD,158904,H,Rural,43.0,Rural-Remote,N,133,Yes,Yes
690,MATHIS ISD,205904,G,Non-metropolitan Stable,32.0,Town-Distant,N,1627,No,No
691,MAUD ISD,19903,H,Rural,42.0,Rural-Distant,N,468,Yes,Yes
692,MAY ISD,25905,H,Rural,43.0,Rural-Remote,N,266,Yes,Yes
693,MAYPEARL ISD,70915,D,Other Central City Suburban,42.0,Rural-Distant,N,1184,No,Yes
694,MCALLEN ISD,108906,D,Other Central City Suburban,12.0,City-Midsize,N,22875,No,No
695,MCCAMEY ISD,231901,H,Rural,43.0,Rural-Remote,N,570,Yes,Yes
696,MCDADE ISD,11905,F,Non-metropolitan Fast Growing,42.0,Rural-Distant,N,382,No,Yes
697,MCGREGOR ISD,161909,G,Non-metropolitan Stable,31.0,Town-Fringe,N,1426,No,No
698,MCKINNEY ISD,43907,D,Other Central City Suburban,22.0,Suburb-Midsize,N,24717,No,No
699,MCLEAN ISD,90903,H,Rural,43.0,Rural-Remote,N,236,Yes,Yes
700,MCLEOD ISD,34906,H,Rural,42.0,Rural-Distant,N,388,Yes,Yes
701,MCMULLEN COUNTY ISD,162904,H,Rural,43.0,Rural-Remote,N,289,Yes,Yes
702,MEADOW ISD,223902,H,Rural,42.0,Rural-Distant,N,289,Yes,Yes
703,MEADOWLAND CHARTER DISTRICT,130801,I,Charter School Districts,41.0,Rural-Fringe,Y,123,No,Yes
704,MEDINA ISD,10901,F,Non-metropolitan Fast Growing,43.0,Rural-Remote,N,306,No,Yes
705,MEDINA VALLEY ISD,163908,B,Major Suburban,41.0,Rural-Fringe,N,5455,No,No
706,MELISSA ISD,43908,F,Non-metropolitan Fast Growing,22.0,Suburb-Midsize,N,3163,No,No
707,MEMPHIS ISD,96904,H,Rural,43.0,Rural-Remote,N,488,Yes,Yes
708,MENARD ISD,164901,H,Rural,43.0,Rural-Remote,N,305,Yes,Yes
709,MERCEDES ISD,108907,D,Other Central City Suburban,21.0,Suburb-Large,N,5275,No,No
710,MERIDIAN ISD,18902,H,Rural,43.0,Rural-Remote,N,477,Yes,Yes
711,MERIDIAN WORLD SCHOOL LLC,246801,I,Charter School Districts,12.0,City-Midsize,Y,1648,No,No
712,MERKEL ISD,221904,D,Other Central City Suburban,42.0,Rural-Distant,N,1140,No,Yes
713,MESQUITE ISD,57914,B,Major Suburban,21.0,Suburb-Large,N,40379,No,No
714,MEXIA ISD,147903,G,Non-metropolitan Stable,33.0,Town-Remote,N,1892,No,No
715,MEYERPARK ELEMENTARY,101855,I,Charter School Districts,11.0,City-Large,Y,278,No,No
716,MEYERSVILLE ISD,62906,H,Rural,42.0,Rural-Distant,N,132,Yes,Yes
717,MIAMI ISD,197902,H,Rural,43.0,Rural-Remote,N,219,Yes,Yes
718,MIDLAND ACADEMY CHARTER SCHOOL,165802,I,Charter School Districts,12.0,City-Midsize,Y,423,No,No
719,MIDLAND ISD,165901,C,Other Central City,12.0,City-Midsize,N,26183,No,No
720,MIDLOTHIAN ISD,70908,C,Other Central City,21.0,Suburb-Large,N,9389,No,No
721,MIDVALLEY ACADEMY CHARTER DISTRICT,108804,I,Charter School Districts,22.0,Suburb-Midsize,Y,382,No,No
722,MIDWAY ISD,39905,H,Rural,42.0,Rural-Distant,N,132,Yes,Yes
723,MIDWAY ISD,161903,D,Other Central City Suburban,22.0,Suburb-Midsize,N,8302,No,No
724,MILANO ISD,166903,H,Rural,42.0,Rural-Distant,N,465,Yes,Yes
725,MILDRED ISD,175910,H,Rural,42.0,Rural-Distant,N,734,Yes,Yes
726,MILES ISD,200902,H,Rural,42.0,Rural-Distant,N,435,Yes,Yes
727,MILFORD ISD,70909,H,Rural,42.0,Rural-Distant,N,266,Yes,Yes
728,MILLER GROVE ISD,112907,F,Non-metropolitan Fast Growing,43.0,Rural-Remote,N,334,No,Yes
729,MILLSAP ISD,184904,D,Other Central City Suburban,42.0,Rural-Distant,N,1018,No,Yes
730,MINEOLA ISD,250903,E,Independent Town,32.0,Town-Distant,N,1637,No,No
731,MINERAL WELLS ISD,182903,E,Independent Town,32.0,Town-Distant,N,3281,No,No
732,MISSION CISD,108908,D,Other Central City Suburban,13.0,City-Small,N,15588,No,No
733,MONAHANS-WICKETT-PYOTE ISD,238902,D,Other Central City Suburban,32.0,Town-Distant,N,2410,No,No
734,MONTAGUE ISD,169908,H,Rural,42.0,Rural-Distant,N,166,Yes,Yes
735,MONTE ALTO ISD,108915,D,Other Central City Suburban,41.0,Rural-Fringe,N,947,No,Yes
736,MONTESSORI FOR ALL,227826,I,Charter School Districts,11.0,City-Large,Y,457,No,No
737,MONTGOMERY ISD,170903,D,Other Central City Suburban,41.0,Rural-Fringe,N,8857,No,No
738,MOODY ISD,161910,H,Rural,42.0,Rural-Distant,N,696,Yes,Yes
739,MORAN ISD,209902,H,Rural,43.0,Rural-Remote,N,111,Yes,Yes
740,MORGAN ISD,18903,H,Rural,43.0,Rural-Remote,N,129,Yes,Yes
741,MORGAN MILL ISD,72910,H,Rural,43.0,Rural-Remote,N,123,Yes,Yes
742,MORTON ISD,40901,H,Rural,43.0,Rural-Remote,N,394,Yes,Yes
743,MOTLEY COUNTY ISD,173901,H,Rural,43.0,Rural-Remote,N,162,Yes,Yes
744,MOULTON ISD,143902,H,Rural,43.0,Rural-Remote,N,279,Yes,Yes
745,MOUNT CALM ISD,109910,H,Rural,42.0,Rural-Distant,N,197,Yes,Yes
746,MOUNT ENTERPRISE ISD,201907,H,Rural,43.0,Rural-Remote,N,414,Yes,Yes
747,MOUNT PLEASANT ISD,225902,E,Independent Town,33.0,Town-Remote,N,5394,No,No
748,MOUNT VERNON ISD,80901,G,Non-metropolitan Stable,33.0,Town-Remote,N,1621,No,No
749,MUENSTER ISD,49902,H,Rural,43.0,Rural-Remote,N,514,Yes,Yes
750,MULESHOE ISD,9901,G,Non-metropolitan Stable,33.0,Town-Remote,N,1417,No,No
751,MULLIN ISD,167902,F,Non-metropolitan Fast Growing,33.0,Town-Remote,N,340,No,No
752,MUMFORD ISD,198906,H,Rural,42.0,Rural-Distant,N,612,Yes,Yes
753,MUNDAY CISD,138903,H,Rural,43.0,Rural-Remote,N,392,Yes,Yes
754,MURCHISON ISD,107908,H,Rural,42.0,Rural-Distant,N,180,Yes,Yes
755,NACOGDOCHES ISD,174904,E,Independent Town,33.0,Town-Remote,N,6249,No,No
756,NATALIA ISD,163903,G,Non-metropolitan Stable,41.0,Rural-Fringe,N,1080,No,Yes
757,NAVARRO ISD,94903,D,Other Central City Suburban,41.0,Rural-Fringe,N,1943,No,Yes
758,NAVASOTA ISD,93904,D,Other Central City Suburban,32.0,Town-Distant,N,3043,No,No
759,NAZARETH ISD,35903,H,Rural,43.0,Rural-Remote,N,253,Yes,Yes
760,NECHES ISD,1906,H,Rural,42.0,Rural-Distant,N,366,Yes,Yes
761,NEDERLAND ISD,123905,D,Other Central City Suburban,22.0,Suburb-Midsize,N,5207,No,No
762,NEEDVILLE ISD,79906,D,Other Central City Suburban,41.0,Rural-Fringe,N,3262,No,Yes
763,NEW BOSTON ISD,19905,G,Non-metropolitan Stable,32.0,Town-Distant,N,1275,No,No
764,NEW BRAUNFELS ISD,46901,C,Other Central City,13.0,City-Small,N,9127,No,No
765,NEW CANEY ISD,170908,D,Other Central City Suburban,21.0,Suburb-Large,N,15381,No,No
766,NEW DEAL ISD,152902,H,Rural,41.0,Rural-Fringe,N,786,Yes,Yes
767,NEW DIANA ISD,230906,D,Other Central City Suburban,42.0,Rural-Distant,N,1118,No,Yes
768,NEW FRONTIERS PUBLIC SCHOOLS INC,15805,I,Charter School Districts,11.0,City-Large,Y,663,No,No
769,NEW HOME ISD,153905,F,Non-metropolitan Fast Growing,42.0,Rural-Distant,N,479,No,Yes
770,NEW SUMMERFIELD ISD,37908,H,Rural,42.0,Rural-Distant,N,544,Yes,Yes
771,NEW WAVERLY ISD,236901,G,Non-metropolitan Stable,41.0,Rural-Fringe,N,1030,No,Yes
772,NEWCASTLE ISD,252902,H,Rural,42.0,Rural-Distant,N,206,Yes,Yes
773,NEWMAN INTERNATIONAL ACADEMY OF AR,220817,I,Charter School Districts,11.0,City-Large,Y,3005,No,No
774,NEWTON ISD,176902,G,Non-metropolitan Stable,43.0,Rural-Remote,N,1041,No,Yes
775,NIXON-SMILEY CISD,89903,G,Non-metropolitan Stable,43.0,Rural-Remote,N,1074,No,Yes
776,NOCONA ISD,169902,H,Rural,33.0,Town-Remote,N,774,Yes,No
777,NORDHEIM ISD,62902,H,Rural,43.0,Rural-Remote,N,149,Yes,Yes
778,NORMANGEE ISD,145906,H,Rural,43.0,Rural-Remote,N,605,Yes,Yes
779,NORTH EAST ISD,15910,A,Major Urban,11.0,City-Large,N,65186,No,No
780,NORTH HOPKINS ISD,112906,H,Rural,42.0,Rural-Distant,N,512,Yes,Yes
781,NORTH LAMAR ISD,139911,G,Non-metropolitan Stable,41.0,Rural-Fringe,N,2456,No,Yes
782,NORTH TEXAS COLLEGIATE ACADEMY,61802,I,Charter School Districts,21.0,Suburb-Large,Y,556,No,No
783,NORTH ZULCH ISD,154903,H,Rural,42.0,Rural-Distant,N,339,Yes,Yes
784,NORTHSIDE ISD,15915,A,Major Urban,11.0,City-Large,N,106501,No,No
785,NORTHSIDE ISD,244905,H,Rural,42.0,Rural-Distant,N,222,Yes,Yes
786,NORTHWEST ISD,61911,D,Other Central City Suburban,41.0,Rural-Fringe,N,24141,No,No
787,NOVA ACADEMY,57809,I,Charter School Districts,11.0,City-Large,Y,135,No,No
788,NOVA ACADEMY (SOUTHEAST),57827,I,Charter School Districts,11.0,City-Large,Y,616,No,No
789,NUECES CANYON CISD,69902,H,Rural,43.0,Rural-Remote,N,280,Yes,Yes
790,NURSERY ISD,235904,H,Rural,41.0,Rural-Fringe,N,132,Yes,Yes
791,NYOS CHARTER SCHOOL,227804,I,Charter School Districts,11.0,City-Large,Y,1017,No,No
792,O'DONNELL ISD,153903,H,Rural,43.0,Rural-Remote,N,309,Yes,Yes
793,OAKWOOD ISD,145907,H,Rural,43.0,Rural-Remote,N,199,Yes,Yes
794,ODEM-EDROY ISD,205905,G,Non-metropolitan Stable,31.0,Town-Fringe,N,905,No,No
795,ODYSSEY ACADEMY INC,84802,I,Charter School Districts,31.0,Town-Fringe,Y,1197,No,No
796,OGLESBY ISD,50904,H,Rural,42.0,Rural-Distant,N,169,Yes,Yes
797,OLFEN ISD,200906,H,Rural,42.0,Rural-Distant,N,104,Yes,Yes
798,OLNEY ISD,252903,H,Rural,32.0,Town-Distant,N,677,Yes,No
799,OLTON ISD,140905,H,Rural,43.0,Rural-Remote,N,591,Yes,Yes
800,ONALASKA ISD,187910,G,Non-metropolitan Stable,32.0,Town-Distant,N,1119,No,No
801,ORANGE GROVE ISD,125903,G,Non-metropolitan Stable,42.0,Rural-Distant,N,1820,No,Yes
802,ORANGEFIELD ISD,181905,D,Other Central City Suburban,41.0,Rural-Fringe,N,1848,No,Yes
803,ORE CITY ISD,230903,G,Non-metropolitan Stable,42.0,Rural-Distant,N,956,No,Yes
804,ORENDA CHARTER SCHOOL,14804,I,Charter School Districts,41.0,Rural-Fringe,Y,1720,No,Yes
805,OVERTON ISD,201908,H,Rural,42.0,Rural-Distant,N,502,Yes,Yes
806,PADUCAH ISD,51901,H,Rural,43.0,Rural-Remote,N,204,Yes,Yes
807,PAINT CREEK ISD,104907,H,Rural,42.0,Rural-Distant,N,118,Yes,Yes
808,PAINT ROCK ISD,48903,H,Rural,43.0,Rural-Remote,N,243,Yes,Yes
809,PALACIOS ISD,158905,G,Non-metropolitan Stable,33.0,Town-Remote,N,1428,No,No
810,PALESTINE ISD,1907,E,Independent Town,32.0,Town-Distant,N,3393,No,No
811,PALMER ISD,70910,D,Other Central City Suburban,41.0,Rural-Fringe,N,1226,No,Yes
812,PALO PINTO ISD,182906,H,Rural,42.0,Rural-Distant,N,95,Yes,Yes
813,PAMPA ISD,90904,G,Non-metropolitan Stable,33.0,Town-Remote,N,3541,No,No
814,PANHANDLE ISD,33902,H,Rural,42.0,Rural-Distant,N,702,Yes,Yes
815,PANOLA CHARTER SCHOOL,183801,I,Charter School Districts,32.0,Town-Distant,Y,143,No,No
816,PANTHER CREEK CISD,42905,H,Rural,43.0,Rural-Remote,N,150,Yes,Yes
817,PARADISE ISD,249906,G,Non-metropolitan Stable,42.0,Rural-Distant,N,1240,No,Yes
818,PARIS ISD,139909,E,Independent Town,33.0,Town-Remote,N,3813,No,No
819,PASADENA ISD,101917,B,Major Suburban,21.0,Suburb-Large,N,53291,No,No
820,PASO DEL NORTE ACADEMY CHARTER DIS,71803,I,Charter School Districts,11.0,City-Large,Y,221,No,No
821,PATTON SPRINGS ISD,63906,H,Rural,43.0,Rural-Remote,N,97,Yes,Yes
822,PAWNEE ISD,13902,F,Non-metropolitan Fast Growing,43.0,Rural-Remote,N,318,No,Yes
823,PEARLAND ISD,20908,B,Major Suburban,21.0,Suburb-Large,N,21606,No,No
824,PEARSALL ISD,82903,G,Non-metropolitan Stable,33.0,Town-Remote,N,2144,No,No
825,PEASTER ISD,184908,D,Other Central City Suburban,42.0,Rural-Distant,N,1228,No,Yes
826,PECOS-BARSTOW-TOYAH ISD,195901,G,Non-metropolitan Stable,33.0,Town-Remote,N,2797,No,No
827,PEGASUS SCHOOL OF LIBERAL ARTS AND,57802,I,Charter School Districts,11.0,City-Large,Y,676,No,No
828,PENELOPE ISD,109914,H,Rural,42.0,Rural-Distant,N,201,Yes,Yes
829,PERRIN-WHITT CISD,119903,H,Rural,43.0,Rural-Remote,N,334,Yes,Yes
830,PERRYTON ISD,179901,G,Non-metropolitan Stable,33.0,Town-Remote,N,2238,No,No
831,PETERSBURG ISD,95904,H,Rural,42.0,Rural-Distant,N,293,Yes,Yes
832,PETROLIA CISD,39903,H,Rural,42.0,Rural-Distant,N,450,Yes,Yes
833,PETTUS ISD,13903,H,Rural,42.0,Rural-Distant,N,420,Yes,Yes
834,PEWITT CISD,172905,H,Rural,42.0,Rural-Distant,N,868,Yes,Yes
835,PFLUGERVILLE ISD,227904,B,Major Suburban,21.0,Suburb-Large,N,25405,No,No
836,PHARR-SAN JUAN-ALAMO ISD,108909,C,Other Central City,21.0,Suburb-Large,N,32682,No,No
837,PILOT POINT ISD,61903,D,Other Central City Suburban,31.0,Town-Fringe,N,1395,No,No
838,PINE TREE ISD,92904,D,Other Central City Suburban,13.0,City-Small,N,4500,No,No
839,PINEYWOODS COMMUNITY ACADEMY,3801,I,Charter School Districts,33.0,Town-Remote,Y,1022,No,No
840,PIONEER TECHNOLOGY & ARTS ACADEMY,57850,I,Charter School Districts,21.0,Suburb-Large,Y,618,No,No
841,PITTSBURG ISD,32902,G,Non-metropolitan Stable,32.0,Town-Distant,N,2356,No,No
842,PLAINS ISD,251902,H,Rural,43.0,Rural-Remote,N,479,Yes,Yes
843,PLAINVIEW ISD,95905,E,Independent Town,33.0,Town-Remote,N,5375,No,No
844,PLANO ISD,43910,B,Major Suburban,11.0,City-Large,N,53057,No,No
845,PLEASANT GROVE ISD,19912,G,Non-metropolitan Stable,13.0,City-Small,N,2158,No,No
846,PLEASANTON ISD,7905,E,Independent Town,32.0,Town-Distant,N,3564,No,No
847,PLEMONS-STINNETT-PHILLIPS CISD,117904,H,Rural,42.0,Rural-Distant,N,712,Yes,Yes
848,POINT ISABEL ISD,31909,D,Other Central City Suburban,32.0,Town-Distant,N,2352,No,No
849,PONDER ISD,61906,D,Other Central City Suburban,42.0,Rural-Distant,N,1550,No,Yes
850,POOLVILLE ISD,184901,H,Rural,42.0,Rural-Distant,N,542,Yes,Yes
851,POR VIDA ACADEMY,15801,I,Charter School Districts,11.0,City-Large,Y,229,No,No
852,PORT ARANSAS ISD,178908,H,Rural,42.0,Rural-Distant,N,501,Yes,Yes
853,PORT ARTHUR ISD,123907,D,Other Central City Suburban,13.0,City-Small,N,8319,No,No
854,PORT NECHES-GROVES ISD,123908,D,Other Central City Suburban,22.0,Suburb-Midsize,N,5136,No,No
855,POSITIVE SOLUTIONS CHARTER SCHOOL,15814,I,Charter School Districts,11.0,City-Large,Y,131,No,No
