distname,district_id,county,dflchart,dflalted,asvab_status,tea description,nces description,charter school (y/n),tea district type,nces district type,region,cntyname,district 2023 staff: teacher student ratio,district 2022-23 total students count,district 2023 staff: all staff total full time equiv count,district 2022-23 african american students percent,district 2022-23 american indian students percent,district 2022-23 asian students percent,district 2022-23 hispanic students percent,district 2022-23 pacific islander students percent,district 2022-23 white students percent,district 2022-23 two or more races students percent,district 2022-23 economically disadvantaged students percent,district 2022-23 title i students percent,district 2022-23 special education students percent,district 2022-23 section 504 students percent,district 2022-23 bilingual/esl education students percent,district 2022-23 emergent bilingual/english learner students percent,district 2022-23 homeless students percent,district 2022-23 immigrant students percent,district 2022-23 migrant students percent,district 2022-23 military connected students percent,district 2022-23 foster care students percent,district 2022-23 gifted & talented education students percent
SMYER ISD,110906,'110,N,N, ,Rural,Rural-Distant,N,H,42,'17,HOCKLEY,10.7,442.0,62.8,0.5,0.0,0.0,45.0,0.0,52.9,1.6,55.2,100.0,12.7,10.6,3.2,3.2,2.0,0.0,0.0,4.1,0.0,7.5
SUNDOWN ISD,110907,'110,N,N, ,Rural,Rural-Distant,N,H,42,'17,HOCKLEY,10.1,592.0,99.2,0.3,0.0,0.7,58.4,0.0,38.9,1.7,50.2,43.9,10.1,10.6,3.7,3.7,0.0,0.0,0.0,0.8,0.5,11.0
WHITHARRAL ISD,110908,'110,N,N, ,Rural,Rural-Distant,N,H,42,'17,HOCKLEY,11.6,234.0,34.8,0.9,0.4,0.0,35.9,0.0,60.3,2.6,46.2,100.0,8.5,7.3,0.9,0.9,3.4,0.0,0.4,3.0,0.9,4.7
LAKE GRANBURY ACADEMY CHARTER SCHOOL,111801,'111,Y,Y,ASVAB Test not Offered,Charter Schools,Rural-Fringe,Y,I,41,'11,HOOD,12.7,41.0,5.3,17.1,0.0,0.0,53.7,0.0,29.3,0.0,80.5,100.0,24.4,12.2,7.3,12.2,2.4,0.0,0.0,0.0,0.0,0.0
GRANBURY ISD,111901,'111,N,N, ,Other Central City Suburban,Town-Distant,N,D,32,'11,HOOD,14.2,7954.0,1119.3,1.3,0.3,0.9,27.4,0.4,66.6,3.1,54.9,100.0,14.8,11.5,10.3,10.5,1.2,1.1,0.0,1.8,0.1,8.4
LIPAN ISD,111902,'111,N,N, ,Rural,Rural-Remote,N,H,43,'11,HOOD,11.3,467.0,66.5,0.4,0.0,0.0,13.9,0.2,83.7,1.7,54.6,100.0,10.3,9.6,4.3,4.3,1.1,0.0,0.0,2.8,0.0,3.4
TOLAR ISD,111903,'111,N,N, ,Rural,Rural-Distant,N,H,42,'11,HOOD,12.8,878.0,116.7,0.8,0.5,0.1,6.8,0.3,89.7,1.7,35.6,99.4,11.5,9.1,0.7,0.6,0.0,0.1,0.0,4.2,0.2,3.4
SULPHUR SPRINGS ISD,112901,'112,N,N, ,Independent Town,Town-Remote,N,E,33,'08,HOPKINS,12.1,4361.0,721.8,10.0,0.3,1.0,30.4,0.1,53.5,4.6,65.1,48.3,15.0,16.5,18.0,15.7,1.0,0.2,0.0,0.5,0.3,5.3
CUMBY COLLEGIATE ISD,112905,'112,N,N, ,Rural,Rural-Distant,N,H,42,'08,HOPKINS,10.7,431.0,78.0,0.5,2.1,0.2,11.4,0.0,82.6,3.2,56.4,100.0,16.9,12.3,4.2,4.6,4.4,0.0,0.0,0.0,0.2,6.0
NORTH HOPKINS ISD,112906,'112,N,N, ,Rural,Rural-Distant,N,H,42,'08,HOPKINS,10.3,516.0,95.0,0.2,0.6,0.0,25.8,0.2,70.2,3.1,61.2,100.0,12.6,13.8,13.4,14.1,2.9,0.0,0.0,0.2,1.7,7.9
MILLER GROVE ISD,112907,'112,N,N, ,Rural,Rural-Remote,N,H,43,'08,HOPKINS,10.6,317.0,51.5,0.0,0.3,0.3,14.5,0.3,82.0,2.5,47.9,100.0,12.9,11.7,4.4,4.4,6.3,0.0,0.0,8.2,0.0,0.9
COMO-PICKTON CISD,112908,'112,N,N, ,Rural,Rural-Distant,N,H,42,'08,HOPKINS,11.5,734.0,129.9,1.4,0.3,0.7,42.2,0.0,53.3,2.2,64.6,99.9,17.7,11.4,24.0,24.4,1.0,0.7,0.8,3.3,1.5,4.6
SALTILLO ISD,112909,'112,N,N, ,Rural,Rural-Distant,N,H,42,'08,HOPKINS,10.1,248.0,49.1,2.8,0.0,0.0,27.4,0.0,66.9,2.8,58.1,99.6,14.5,13.7,11.3,11.3,0.0,1.2,0.0,0.0,0.0,2.8
SULPHUR BLUFF ISD,112910,'112,N,N, ,Rural,Rural-Remote,N,H,43,'08,HOPKINS,10.8,227.0,41.4,1.3,0.0,0.4,18.1,0.0,78.0,2.2,55.1,100.0,12.8,12.8,4.4,5.3,0.0,0.0,0.0,1.8,0.0,5.3
CROCKETT ISD,113901,'113,N,N, ,Non-metropolitan Stable,Town-Remote,N,G,33,'06,HOUSTON,13.4,1203.0,204.1,45.0,0.2,0.5,33.2,0.1,17.2,3.8,89.2,100.0,13.8,9.7,18.4,19.0,1.0,0.0,0.4,0.4,0.0,4.0
GRAPELAND ISD,113902,'113,N,N, ,Non-metropolitan Fast Growing,Rural-Remote,N,F,43,'06,HOUSTON,12.1,615.0,111.4,21.0,0.2,1.1,9.4,0.0,64.4,3.9,62.9,1.3,14.3,2.9,0.5,0.5,0.0,0.0,0.2,1.1,0.0,4.7
LOVELADY ISD,113903,'113,N,N, ,Rural,Rural-Remote,N,H,43,'06,HOUSTON,11.8,538.0,85.9,11.3,0.2,0.2,11.9,0.0,73.6,2.8,48.9,53.0,13.8,11.7,1.3,1.3,0.0,0.0,0.0,0.0,0.9,5.9
LATEXO ISD,113905,'113,N,N, ,Rural,Rural-Distant,N,H,42,'06,HOUSTON,11.4,497.0,88.5,1.2,0.4,1.6,20.5,0.0,74.0,2.2,56.3,100.0,13.3,9.3,5.6,5.8,0.0,0.0,0.0,4.2,0.4,6.0
KENNARD ISD,113906,'113,N,N, ,Rural,Rural-Remote,N,H,43,'06,HOUSTON,11.8,258.0,47.7,12.0,0.0,0.0,5.8,0.0,77.9,4.3,66.7,100.0,17.4,13.2,0.4,0.4,6.6,0.0,0.0,1.6,0.4,7.0
BIG SPRING ISD,114901,'114,N,N, ,Independent Town,Town-Distant,N,E,32,'18,HOWARD,13.1,3510.0,572.2,4.8,0.1,1.0,68.0,0.2,22.8,3.0,72.9,97.2,18.4,5.0,6.4,6.6,0.7,0.2,0.1,2.3,0.5,4.7
COAHOMA ISD,114902,'114,N,N, ,Non-metropolitan Stable,Rural-Distant,N,G,42,'18,HOWARD,14.7,1095.0,139.9,0.5,0.3,0.4,43.9,0.0,53.3,1.6,39.5,51.9,12.1,8.1,3.3,3.5,0.0,0.0,0.0,0.0,0.2,4.2
FORSAN ISD,114904,'114,N,N, ,Rural,Rural-Distant,N,H,42,'18,HOWARD,12.7,753.0,103.9,0.7,0.4,2.1,35.9,0.0,58.4,2.5,39.2,47.7,8.6,7.8,3.1,3.2,0.0,0.3,0.0,0.5,0.0,6.4
FT HANCOCK ISD,115901,'115,N,N, ,Rural,Rural-Remote,N,H,43,'19,HUDSPETH,11.0,377.0,83.1,0.5,0.0,0.3,96.3,0.0,2.1,0.8,89.7,100.0,11.7,3.4,73.5,60.7,0.0,2.1,6.1,4.5,0.0,5.8
SIERRA BLANCA ISD,115902,'115,N,N, ,Rural,Rural-Remote,N,H,43,'19,HUDSPETH,8.9,116.0,26.5,3.4,0.0,0.0,69.0,0.0,26.7,0.9,83.6,99.1,19.8,0.9,8.6,8.6,0.0,0.0,2.6,0.0,0.0,0.0
DELL CITY ISD,115903,'115,N,N, ,Rural,Rural-Remote,N,H,43,'19,HUDSPETH,7.0,61.0,25.9,0.0,0.0,0.0,65.6,0.0,31.1,3.3,80.3,100.0,19.7,1.6,27.9,27.9,6.6,0.0,3.3,1.6,0.0,9.8
CADDO MILLS ISD,116901,'116,N,N, ,Other Central City Suburban,Rural-Distant,N,D,42,'10,HUNT,13.7,2642.0,374.8,3.7,0.6,0.4,22.4,0.0,69.7,3.3,30.0,43.1,16.5,13.5,5.6,5.7,0.5,0.4,0.0,4.4,0.3,3.9
CELESTE ISD,116902,'116,N,N, ,Rural,Rural-Distant,N,H,42,'10,HUNT,11.3,519.0,91.6,1.9,0.8,0.0,22.5,0.0,69.9,4.8,61.3,68.6,17.3,7.1,5.2,5.2,0.2,0.0,0.0,1.7,0.0,4.6
COMMERCE ISD,116903,'116,N,N, ,Other Central City Suburban,Rural-Fringe,N,D,41,'10,HUNT,12.6,1517.0,239.7,25.0,0.4,1.5,24.1,0.9,41.9,6.3,74.8,47.5,17.7,9.0,12.5,12.7,0.5,1.0,0.0,4.0,0.4,5.9
GREENVILLE ISD,116905,'116,N,N, ,Other Central City,Town-Distant,N,C,32,'10,HUNT,13.9,5422.0,842.8,15.9,0.3,0.6,49.2,0.2,28.5,5.2,75.2,68.3,14.9,10.0,27.5,26.8,0.6,0.4,0.0,2.7,0.1,7.7
LONE OAK ISD,116906,'116,N,N, ,Other Central City Suburban,Rural-Distant,N,D,42,'10,HUNT,13.8,1083.0,167.6,1.8,0.5,0.5,15.4,0.2,78.8,3.0,45.2,47.6,16.1,14.4,3.8,3.8,0.0,0.0,0.0,0.3,2.6,7.7
QUINLAN ISD,116908,'116,N,N, ,Other Central City Suburban,Rural-Fringe,N,D,41,'10,HUNT,16.2,2784.0,384.0,0.9,0.5,0.3,38.6,0.2,56.0,3.4,76.2,27.5,16.2,8.9,19.2,19.5,1.3,0.6,0.0,0.8,1.0,3.6
WOLFE CITY ISD,116909,'116,N,N, ,Rural,Rural-Remote,N,H,43,'10,HUNT,11.7,720.0,108.9,3.2,0.3,0.1,24.7,0.0,68.9,2.8,58.2,48.2,13.9,12.5,10.1,10.3,0.3,0.1,0.0,1.1,0.6,7.9
CAMPBELL ISD,116910,'116,N,N, ,Rural,Rural-Distant,N,H,42,'10,HUNT,8.3,295.0,61.5,2.4,0.0,1.0,32.2,0.0,61.7,2.7,67.1,49.5,22.0,7.1,14.2,15.3,0.0,0.0,0.0,6.4,0.0,3.1
BLAND ISD,116915,'116,N,N, ,Rural,Rural-Distant,N,H,42,'10,HUNT,12.7,773.0,122.2,1.2,0.8,0.3,46.3,0.0,49.2,2.3,61.2,71.9,16.2,8.2,22.6,22.6,0.3,0.0,0.0,0.4,0.4,7.9
BOLES ISD,116916,'116,N,N, ,Rural,Rural-Fringe,N,H,41,'10,HUNT,11.2,547.0,101.8,2.6,0.9,0.5,20.3,0.0,72.9,2.7,59.8,100.0,15.5,13.3,5.3,6.2,9.3,0.2,0.0,8.8,0.2,6.8
BORGER ISD,117901,'117,N,N, ,Non-metropolitan Stable,Town-Distant,N,G,32,'16,HUTCHINSON,12.9,2477.0,426.7,2.1,1.0,0.6,46.1,0.0,46.1,4.0,59.4,69.2,14.9,8.0,9.4,10.4,0.0,0.3,0.0,0.8,0.5,5.4
SANFORD-FRITCH ISD,117903,'117,N,N, ,Rural,Town-Distant,N,H,32,'16,HUTCHINSON,10.5,688.0,142.8,1.0,0.9,0.4,9.9,0.0,84.2,3.6,49.0,44.9,16.7,4.4,0.6,0.6,1.9,0.0,0.1,0.6,0.0,3.8
PLEMONS-STINNETT-PHILLIPS CISD,117904,'117,N,N, ,Rural,Rural-Distant,N,H,42,'16,HUTCHINSON,10.0,573.0,99.8,0.0,0.7,0.0,23.7,0.2,70.2,5.2,38.9,100.0,16.4,8.4,1.4,1.4,0.7,0.0,0.0,1.0,0.0,7.5
SPRING CREEK ISD,117907,'117,N,N, ,Rural,Rural-Distant,N,H,42,'16,HUTCHINSON,8.3,92.0,22.1,2.2,0.0,0.0,28.3,0.0,66.3,3.3,39.1,100.0,15.2,9.8,6.5,6.5,0.0,0.0,0.0,3.3,0.0,2.2
IRION COUNTY ISD,118902,'118,N,N, ,Non-metropolitan Fast Growing,Rural-Distant,N,F,42,'15,IRION,9.3,333.0,72.0,1.5,0.0,0.6,27.3,0.0,69.1,1.5,36.6,100.0,15.0,10.8,2.1,2.1,1.2,0.0,0.0,1.8,0.0,8.4
BRYSON ISD,119901,'119,N,N, ,Rural,Rural-Remote,N,H,43,'09,JACK,11.2,259.0,40.3,0.0,0.4,0.0,9.7,0.0,89.2,0.8,56.0,100.0,10.8,9.7,2.7,2.7,0.0,0.0,0.0,0.0,0.0,2.3
JACKSBORO ISD,119902,'119,N,N, ,Non-metropolitan Stable,Town-Remote,N,G,33,'09,JACK,12.5,1083.0,169.7,0.5,0.6,0.5,33.6,0.1,62.0,2.8,68.0,100.0,15.1,12.4,15.4,15.5,1.3,0.3,0.0,3.2,0.2,6.7
PERRIN-WHITT CISD,119903,'119,N,N, ,Rural,Rural-Remote,N,H,43,'09,JACK,10.8,319.0,50.5,0.0,0.0,0.0,18.5,0.0,78.4,3.1,50.8,53.6,14.4,6.6,3.1,3.1,0.0,0.0,0.0,0.6,0.0,6.0
EDNA ISD,120901,'120,N,N, ,Non-metropolitan Stable,Town-Distant,N,G,32,'03,JACKSON,13.1,1573.0,226.5,11.1,0.1,2.2,42.8,0.0,40.3,3.6,62.0,100.0,14.2,7.4,8.6,9.3,1.5,0.3,0.1,0.8,0.3,8.6
GANADO ISD,120902,'120,N,N, ,Rural,Rural-Distant,N,H,42,'03,JACKSON,11.9,711.0,110.5,1.7,0.1,0.0,59.1,0.0,38.0,1.1,53.0,48.7,8.6,10.3,12.2,12.7,1.1,0.1,0.1,0.0,0.0,7.5
INDUSTRIAL ISD,120905,'120,N,N, ,Non-metropolitan Stable,Rural-Distant,N,G,42,'03,JACKSON,11.9,1188.0,187.1,1.0,0.0,0.0,29.9,0.0,67.8,1.3,35.6,45.8,10.2,12.1,2.4,2.4,0.0,0.0,0.3,1.1,0.1,7.5
BROOKELAND ISD,121902,'121,N,N, ,Rural,Rural-Remote,N,H,43,'05,JASPER,9.1,341.0,71.1,1.2,0.0,0.0,3.5,0.0,91.5,3.8,61.3,99.7,11.7,15.8,0.0,0.0,0.0,0.0,0.3,2.9,0.0,0.0
BUNA ISD,121903,'121,N,N, ,Non-metropolitan Stable,Rural-Distant,N,G,42,'05,JASPER,12.2,1477.0,263.1,3.0,0.5,0.3,3.2,0.0,90.0,3.0,47.7,47.0,17.6,13.8,0.5,0.5,0.5,0.1,0.0,1.4,0.2,6.4
JASPER ISD,121904,'121,N,N, ,Independent Town,Town-Remote,N,E,33,'05,JASPER,12.9,2211.0,386.9,39.8,0.3,0.6,18.6,0.1,36.0,4.6,83.4,100.0,14.4,15.5,8.8,9.3,3.4,0.7,0.1,1.4,0.6,4.4
KIRBYVILLE CISD,121905,'121,N,N, ,Non-metropolitan Stable,Rural-Remote,N,G,43,'05,JASPER,14.0,1502.0,212.0,8.5,0.3,0.3,8.3,0.0,76.8,5.8,64.8,48.7,18.0,12.8,2.5,2.6,1.1,0.0,0.1,3.9,1.8,6.1
EVADALE ISD,121906,'121,N,N, ,Rural,Rural-Distant,N,H,42,'05,JASPER,9.2,371.0,82.8,0.0,0.3,0.0,4.6,0.0,91.9,3.2,44.5,100.0,11.6,10.8,1.9,1.9,0.0,0.0,0.0,0.0,0.3,2.2
FT DAVIS ISD,122901,'122,N,N, ,Rural,Rural-Remote,N,H,43,'18,JEFF DAVIS,8.5,183.0,40.1,0.0,0.0,0.0,63.4,0.0,35.0,1.6,59.0,100.0,12.6,2.2,15.3,15.3,0.0,0.0,0.0,0.0,0.0,8.7
VALENTINE ISD,122902,'122,N,N, ,Rural,Rural-Remote,N,H,43,'18,JEFF DAVIS,4.3,44.0,15.7,0.0,0.0,0.0,56.8,0.0,43.2,0.0,47.7,100.0,13.6,0.0,6.8,6.8,0.0,0.0,0.0,2.3,0.0,2.3
TEKOA ACADEMY OF ACCELERATED STUDIES STEM SCHOOL,123803,'123,Y,N, ,Charter Schools,City-Small,Y,I,13,'05,JEFFERSON,9.7,337.0,64.6,86.6,0.3,0.6,6.5,0.0,3.9,2.1,94.1,100.0,3.0,1.8,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
EHRHART SCHOOL,123805,'123,Y,N, ,Charter Schools,City-Midsize,Y,I,12,'05,JEFFERSON,13.6,529.0,62.3,12.3,0.2,0.4,80.5,0.0,5.7,0.9,88.5,100.0,10.0,6.0,58.6,59.0,0.0,1.7,0.0,0.4,1.5,6.2
BOB HOPE SCHOOL,123807,'123,Y,N, ,Charter Schools,City-Small,Y,I,13,'05,JEFFERSON,17.2,2313.0,286.7,18.8,0.3,0.5,77.9,0.0,1.2,1.4,90.0,99.8,5.1,3.1,47.0,46.5,0.6,0.3,2.4,0.3,0.0,0.0
NEDERLAND ISD,123905,'123,N,N, ,Other Central City Suburban,Suburb-Midsize,N,D,22,'05,JEFFERSON,13.6,5029.0,647.7,7.9,0.4,7.4,30.3,0.1,50.7,3.1,49.4,42.4,13.8,10.6,12.9,13.6,0.3,0.9,0.2,2.0,0.4,6.5
PORT ARTHUR ISD,123907,'123,N,N, ,Other Central City Suburban,City-Small,N,D,13,'05,JEFFERSON,14.8,8152.0,1248.1,40.9,2.0,2.3,50.9,0.0,2.5,1.3,86.4,95.4,10.7,5.7,29.5,31.0,1.0,2.7,3.7,0.0,0.1,3.6
PORT NECHES-GROVES ISD,123908,'123,N,N, ,Other Central City Suburban,Suburb-Midsize,N,D,22,'05,JEFFERSON,14.1,5242.0,561.8,3.9,0.2,5.6,31.2,0.0,55.7,3.4,47.3,37.5,12.4,7.6,9.0,9.0,0.0,0.9,0.3,0.0,0.1,6.7
BEAUMONT ISD,123910,'123,N,N, ,Other Central City,City-Midsize,N,C,12,'05,JEFFERSON,17.3,16730.0,2317.9,59.9,0.2,2.8,27.4,0.1,7.3,2.3,81.6,98.9,10.3,6.5,14.8,15.2,2.7,2.0,0.1,2.1,0.3,6.8
SABINE PASS ISD,123913,'123,N,N, ,Rural,Rural-Distant,N,H,42,'05,JEFFERSON,11.0,370.0,67.3,24.1,0.0,1.9,41.9,0.0,31.1,1.1,58.9,100.0,2.7,7.0,1.1,1.6,1.6,0.0,0.0,0.3,0.0,5.1
HAMSHIRE-FANNETT ISD,123914,'123,N,N, ,Other Central City Suburban,Rural-Distant,N,D,42,'05,JEFFERSON,14.5,2065.0,258.2,9.7,0.5,1.4,21.0,0.1,65.6,1.7,44.6,38.6,12.1,8.0,6.5,7.0,0.3,0.0,0.0,2.9,0.4,7.3
JIM HOGG COUNTY ISD,124901,'124,N,N, ,Non-metropolitan Stable,Town-Remote,N,G,33,'01,JIM HOGG,12.8,1072.0,170.8,0.4,0.1,0.6,96.5,0.0,2.2,0.3,85.9,100.0,12.5,6.6,5.4,6.7,0.4,0.0,0.1,4.0,0.1,11.3
ALICE ISD,125901,'125,N,N, ,Independent Town,Town-Distant,N,E,32,'02,JIM WELLS,15.0,4506.0,714.2,0.6,0.0,0.4,91.8,0.0,7.0,0.2,83.1,100.0,14.4,9.1,2.3,2.7,2.5,0.4,0.1,0.9,0.3,2.6
BEN BOLT-PALITO BLANCO ISD,125902,'125,N,N, ,Rural,Rural-Distant,N,H,42,'02,JIM WELLS,14.8,494.0,80.1,0.4,0.0,0.0,89.1,0.0,10.3,0.2,81.8,100.0,13.2,5.7,3.8,3.8,0.0,0.0,0.0,0.0,0.0,5.1
ORANGE GROVE ISD,125903,'125,N,N, ,Non-metropolitan Stable,Rural-Distant,N,G,42,'02,JIM WELLS,15.3,1755.0,235.2,0.2,0.0,0.2,61.4,0.0,37.3,0.9,63.0,100.0,12.4,8.7,3.0,3.0,0.1,0.4,0.1,1.0,0.1,5.0
PREMONT ISD,125905,'125,N,N,ASVAB Alternative Test Offered,Non-metropolitan Fast Growing,Town-Remote,N,F,33,'02,JIM WELLS,14.5,757.0,99.0,0.1,0.0,0.1,96.7,0.0,3.0,0.0,88.9,100.0,22.2,7.3,7.7,7.9,0.0,1.1,0.8,0.7,0.0,6.3
LA GLORIA ISD,125906,'125,N,N, ,Rural,Rural-Distant,N,H,42,'02,JIM WELLS,11.3,102.0,21.0,0.0,0.0,0.0,94.1,0.0,5.9,0.0,72.5,100.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALVARADO ISD,126901,'126,N,N, ,Other Central City Suburban,Rural-Fringe,N,D,41,'11,JOHNSON,14.4,3750.0,487.6,2.7,0.4,0.2,47.5,0.0,45.7,3.5,68.3,68.7,10.5,8.1,23.8,24.2,1.1,0.3,0.1,0.4,0.2,6.5
BURLESON ISD,126902,'126,N,N, ,Other Central City,Suburb-Large,N,C,21,'11,JOHNSON,15.6,12865.0,1593.8,8.4,0.3,1.4,27.9,0.2,57.0,4.8,41.3,38.3,13.0,9.6,7.3,7.8,1.2,0.4,0.0,12.8,0.3,6.6
CLEBURNE ISD,126903,'126,N,N, ,Other Central City Suburban,Rural-Fringe,N,D,41,'11,JOHNSON,13.6,7243.0,1075.6,4.0,0.6,0.4,43.4,2.1,45.4,4.2,71.3,72.4,12.8,7.8,24.5,23.0,3.2,1.0,0.1,2.3,0.2,7.2
GRANDVIEW ISD,126904,'126,N,N, ,Non-metropolitan Stable,Rural-Distant,N,G,42,'11,JOHNSON,12.9,1403.0,179.8,1.7,0.8,0.4,19.2,0.1,74.8,2.9,38.8,68.6,14.0,7.6,5.7,6.0,0.2,0.0,0.0,0.9,0.6,6.4
JOSHUA ISD,126905,'126,N,N, ,Other Central City Suburban,Rural-Fringe,N,D,41,'11,JOHNSON,14.0,5892.0,838.7,2.4,0.5,0.8,34.6,0.2,59.4,2.1,50.9,36.2,13.2,9.4,13.7,13.7,0.5,0.1,0.1,6.8,0.2,2.5
KEENE ISD,126906,'126,N,N, ,Non-metropolitan Stable,Town-Fringe,N,G,31,'11,JOHNSON,11.5,1053.0,151.4,3.3,0.3,0.7,37.5,15.3,38.7,4.2,66.9,100.0,13.8,6.4,20.9,21.2,0.3,1.5,0.0,3.4,0.3,6.4
RIO VISTA ISD,126907,'126,N,N, ,Non-metropolitan Fast Growing,Rural-Distant,N,F,42,'11,JOHNSON,13.8,945.0,133.6,0.6,0.2,0.0,18.4,0.1,77.0,3.6,57.7,99.9,12.4,10.4,4.3,4.4,1.2,0.3,0.0,4.3,0.3,7.9
VENUS ISD,126908,'126,N,N, ,Other Central City Suburban,Town-Fringe,N,D,31,'11,JOHNSON,13.0,2319.0,343.1,4.4,0.4,0.9,63.2,0.2,29.0,1.9,78.7,99.7,11.0,6.0,28.9,29.5,0.1,0.0,0.0,0.6,0.2,5.3
GODLEY ISD,126911,'126,N,N, ,Major Suburban,Rural-Distant,N,B,42,'11,JOHNSON,12.5,2811.0,510.0,1.8,0.2,0.1,32.4,0.1,62.8,2.5,45.7,100.0,14.1,12.2,12.3,12.8,0.8,0.4,0.2,9.8,0.4,7.0
ANSON ISD,127901,'127,N,N, ,Rural,Rural-Distant,N,H,42,'14,JONES,10.2,752.0,131.7,1.3,0.1,0.5,48.7,0.4,46.0,2.9,62.2,100.0,14.1,4.9,2.7,2.7,13.3,0.1,0.0,2.5,1.1,7.4
HAMLIN COLLEGIATE ISD,127903,'127,N,N, ,Rural,Rural-Remote,N,H,43,'14,JONES,10.8,418.0,84.2,4.8,0.0,0.5,42.8,0.0,46.7,5.3,69.9,99.3,14.6,3.3,5.0,5.3,12.2,0.0,0.7,1.0,0.0,1.4
HAWLEY ISD,127904,'127,N,N, ,Rural,Rural-Distant,N,H,42,'14,JONES,9.8,819.0,147.6,0.2,0.2,0.2,21.0,0.1,75.6,2.6,52.9,100.0,17.8,5.9,0.5,0.5,4.8,0.0,0.0,12.1,0.2,10.0
LUEDERS-AVOCA ISD,127905,'127,N,N, ,Rural,Rural-Distant,N,H,42,'14,JONES,5.4,101.0,33.5,0.0,0.0,0.0,27.7,0.0,70.3,2.0,79.2,77.2,22.8,16.8,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0
STAMFORD ISD,127906,'127,N,N, ,Rural,Town-Distant,N,H,32,'14,JONES,10.9,604.0,121.4,5.0,0.3,0.7,51.8,0.0,38.4,3.8,63.1,68.4,14.4,14.1,4.6,4.6,0.8,1.0,0.0,0.7,0.3,2.3
KARNES CITY ISD,128901,'128,N,N, ,Non-metropolitan Fast Growing,Town-Remote,N,F,33,'20,KARNES,-2.0,4835.0,221.6,17.9,0.6,1.2,52.6,0.2,24.0,3.6,60.4,15.2,9.5,9.0,5.0,5.1,1.0,0.1,0.0,0.7,0.0,3.1
KENEDY ISD,128902,'128,N,N, ,Rural,Rural-Fringe,N,H,41,'03,KARNES,11.7,729.0,137.4,1.5,0.0,0.7,87.5,0.0,8.9,1.4,83.4,99.2,17.0,7.8,6.7,6.7,0.0,0.1,0.0,2.3,0.0,4.3
RUNGE ISD,128903,'128,N,N, ,Rural,Rural-Distant,N,H,42,'03,KARNES,9.9,208.0,43.6,0.5,0.0,0.0,89.9,0.0,9.1,0.5,86.1,100.0,14.9,4.3,1.0,1.0,0.5,0.0,0.0,1.0,0.5,5.3
FALLS CITY ISD,128904,'128,N,N, ,Non-metropolitan Fast Growing,Rural-Distant,N,F,42,'20,KARNES,12.1,442.0,66.0,0.0,0.0,0.0,20.6,0.0,77.8,1.6,19.0,14.5,12.2,5.9,1.8,2.0,0.2,0.0,0.0,0.5,0.0,7.0
CRANDALL ISD,129901,'129,N,N, ,Major Suburban,Rural-Fringe,N,B,41,'10,KAUFMAN,15.5,6003.0,779.7,25.0,0.4,0.6,40.0,0.1,30.9,3.0,62.0,55.3,14.8,8.5,16.9,18.3,0.2,0.4,0.0,3.3,0.4,7.3
FORNEY ISD,129902,'129,N,N, ,Major Suburban,Rural-Fringe,N,B,41,'10,KAUFMAN,15.2,16211.0,2052.4,36.2,0.3,2.4,28.6,0.2,28.4,3.9,43.1,48.9,13.2,8.6,13.4,12.7,0.3,0.7,0.0,0.9,0.4,6.5
KAUFMAN ISD,129903,'129,N,N, ,Other Central City Suburban,Town-Distant,N,D,32,'10,KAUFMAN,15.4,4332.0,536.1,4.5,0.4,0.3,55.6,0.1,36.4,2.8,71.6,46.5,12.4,8.1,25.3,25.9,0.4,0.6,0.0,1.1,0.5,6.8
KEMP ISD,129904,'129,N,N, ,Non-metropolitan Stable,Rural-Distant,N,G,42,'10,KAUFMAN,13.2,1835.0,283.7,1.7,0.2,0.4,39.3,0.0,54.3,4.0,72.0,100.0,16.3,10.8,17.3,18.1,1.3,0.4,0.1,0.5,0.2,4.4
MABANK ISD,129905,'129,N,N, ,Other Central City Suburban,Town-Distant,N,D,32,'10,KAUFMAN,15.2,3904.0,528.2,1.5,0.5,0.9,24.7,0.0,68.2,4.1,65.3,100.0,14.5,10.5,7.6,8.4,0.4,0.1,0.0,3.3,0.7,6.7
TERRELL ISD,129906,'129,N,N, ,Other Central City Suburban,Town-Distant,N,D,32,'10,KAUFMAN,16.7,5208.0,637.6,18.8,0.2,0.3,54.0,0.1,21.5,5.2,63.3,92.6,11.8,6.7,24.5,26.0,1.2,0.2,0.0,0.1,0.2,6.2
SCURRY-ROSSER ISD,129910,'129,N,N, ,Non-metropolitan Stable,Rural-Distant,N,G,42,'10,KAUFMAN,13.2,1066.0,198.4,2.5,0.1,0.0,27.3,0.2,68.2,1.7,50.2,27.5,15.3,10.6,10.4,11.8,0.7,0.1,0.0,0.2,0.2,7.8
MEADOWLAND CHARTER DISTRICT,130801,'130,Y,N,ASVAB Alternative Test Offered,Charter Schools,Rural-Fringe,Y,I,41,'20,KENDALL,6.5,68.0,20.5,8.8,0.0,0.0,29.4,0.0,58.8,2.9,88.2,100.0,51.5,17.6,1.5,1.5,0.0,0.0,0.0,0.0,58.8,0.0
